epoch,brotli_size,soup_size,higher_entropy
39873,481044,8192,0.134634
39937,480816,8192,0.138720
40001,479603,8192,0.154591
40065,480356,8192,0.144845
40129,480983,8192,0.144814
40193,481041,8192,0.144747
40257,481148,8192,0.145886
40321,480748,8192,0.156615
40385,481412,8192,0.148781
40449,481612,8192,0.149275
40513,482592,8192,0.133833
40577,481729,8192,0.140433
40641,481812,8192,0.137062
40705,481817,8192,0.132365
40769,482311,8192,0.123855
40833,481965,8192,0.136137
40897,482933,8192,0.135950
40961,483433,8192,0.128667
41025,482888,8192,0.135793
41089,482269,8192,0.144098
41153,482183,8192,0.145906
41217,482196,8192,0.147329
41281,482572,8192,0.145757
41345,482945,8192,0.145848
41409,482197,8192,0.153648
41473,482186,8192,0.151668
41537,482306,8192,0.152210
41601,482784,8192,0.149618
41665,483357,8192,0.141774
41729,482969,8192,0.143586
41793,482520,8192,0.146874
41857,483325,8192,0.134424
41921,483804,8192,0.126392
41985,483820,8192,0.127285
42049,484583,8192,0.126254
42113,485115,8192,0.118726
42177,485607,8192,0.112112
42241,485990,8192,0.111637
42305,486923,8192,0.104551
42369,487030,8192,0.100158
42433,486751,8192,0.105812
42497,487462,8192,0.093886
42561,486731,8192,0.104966
42625,486282,8192,0.112528
42689,486197,8192,0.111935
42753,486662,8192,0.100752
42817,487483,8192,0.101469
42881,487289,8192,0.102502
42945,487372,8192,0.101846
43009,487240,8192,0.100504
43073,487383,8192,0.105738
43137,487166,8192,0.109098
43201,487092,8192,0.107592
43265,486962,8192,0.112448
43329,487084,8192,0.109017
43393,487267,8192,0.113037
43457,487531,8192,0.116926
43521,486788,8192,0.123528
43585,487046,8192,0.122558
43649,487591,8192,0.114618
43713,486809,8192,0.120825
43777,487259,8192,0.114248
43841,487176,8192,0.112922
43905,486787,8192,0.117620
43969,485978,8192,0.121102
44033,486063,8192,0.117865
44097,486562,8192,0.105808
44161,486016,8192,0.109763
44225,486150,8192,0.109033
44289,485632,8192,0.114827
44353,485792,8192,0.108044
44417,484806,8192,0.114753
44481,484429,8192,0.121740
44545,484008,8192,0.126877
44609,484658,8192,0.119191
44673,484641,8192,0.116950
44737,483464,8192,0.131533
44801,484516,8192,0.128508
44865,485030,8192,0.126549
44929,485224,8192,0.123246
44993,485490,8192,0.117418
45057,485213,8192,0.115954
45121,485474,8192,0.109709
45185,484266,8192,0.123603
45249,484907,8192,0.114766
45313,484270,8192,0.129192
45377,483897,8192,0.131403
45441,483260,8192,0.139159
45505,483435,8192,0.144437
45569,483193,8192,0.138705
45633,483848,8192,0.129639
45697,483441,8192,0.140808
45761,483893,8192,0.132881
45825,483326,8192,0.142547
45889,483922,8192,0.138917
45953,483257,8192,0.150800
46017,484090,8192,0.144849
46081,484157,8192,0.143972
46145,483750,8192,0.154029
46209,483470,8192,0.155875
46273,482523,8192,0.166638
46337,483431,8192,0.153836
46401,483194,8192,0.156218
46465,481910,8192,0.162732
